Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,State,City,Product_ID,Product_Name,Category,Sub_Category,Sales,Quantity,Discount,Profit,Shipping_Cost,Payment_Mode,Order_Priority
ORD-10016,2022-01-17,2022-01-19,CUST-199,Customer_20,Corporate,South,Illinois,Chicago,PROD-7353,Laptop,Technology,Chairs,2549.13,1,0.24,-101.97,20.83,UPI,Medium
ORD-10017,2022-01-18,2022-01-20,CUST-971,Customer_113,Home Office,West,Texas,New York City,PROD-5957,Storage Box,Furniture,Accessories,4441.18,7,0.21,-44.41,10.57,Credit Card,Low
ORD-10018,2022-01-19,2022-01-21,CUST-763,Customer_140,Consumer,Central,New York,Los Angeles,PROD-4381,Phone,Technology,Phones,1822.82,9,0.28,-145.83,26.67,UPI,High
ORD-10019,2022-01-20,2022-01-22,CUST-230,Customer_47,Consumer,West,New York,Miami,PROD-6839,Phone,Office Supplies,Storage,1924.28,6,0.02,346.37,52.06,COD,Low
ORD-10020,2022-01-21,2022-01-23,CUST-761,Customer_1,Corporate,Central,Florida,New York City,PROD-3880,Desk,Technology,Chairs,2119.75,3,0.11,190.78,47.46,Credit Card,High
ORD-10021,2022-01-22,2022-01-24,CUST-408,Customer_90,Consumer,Central,Texas,Chicago,PROD-5887,Printer,Technology,Tables,2755.8,4,0.33,-358.25,50.91,Credit Card,Medium
ORD-10022,2022-01-23,2022-01-25,CUST-869,Customer_142,Corporate,South,Florida,New York City,PROD-1545,Desk,Technology,Tables,2789.78,5,0.03,474.26,46.19,Credit Card,High
ORD-10023,2022-01-24,2022-01-26,CUST-443,Customer_38,Home Office,Central,Texas,Miami,PROD-2927,Phone,Technology,Storage,2507.17,1,0.34,-351.0,25.48,UPI,Low
ORD-10024,2022-01-25,2022-01-27,CUST-591,Customer_293,Corporate,West,Florida,New York City,PROD-5152,Office Chair,Technology,Tables,1564.7,5,0.04,250.35,23.34,Credit Card,Medium
ORD-10025,2022-01-26,2022-01-28,CUST-513,Customer_139,Corporate,South,New York,Chicago,PROD-1004,Office Chair,Furniture,Chairs,4639.67,1,0.33,-603.16,15.28,UPI,Low
ORD-10026,2022-01-27,2022-01-29,CUST-905,Customer_259,Home Office,East,Illinois,Los Angeles,PROD-6533,Laptop,Office Supplies,Chairs,2963.5,9,0.14,177.81,68.68,Credit Card,High
ORD-10027,2022-01-28,2022-01-30,CUST-485,Customer_161,Consumer,East,Florida,Chicago,PROD-6378,Storage Box,Furniture,Tables,2068.31,7,0.24,-82.73,51.24,UPI,Medium
ORD-10028,2022-01-29,2022-01-31,CUST-291,Customer_178,Corporate,South,Texas,Los Angeles,PROD-7233,Monitor,Office Supplies,Tables,3273.33,3,0.06,458.27,18.99,Credit Card,High
ORD-10029,2022-01-30,2022-02-01,CUST-376,Customer_10,Corporate,West,Texas,Houston,PROD-3663,Monitor,Office Supplies,Accessories,3851.44,9,0.03,654.74,18.29,COD,Low
ORD-10030,2022-01-31,2022-02-02,CUST-260,Customer_261,Home Office,East,New York,Chicago,PROD-4326,Monitor,Office Supplies,Phones,4805.6,2,0.09,528.62,70.48,COD,High
ORD-10031,2022-02-01,2022-02-03,CUST-559,Customer_138,Consumer,East,Texas,Chicago,PROD-4659,Laptop,Office Supplies,Storage,2522.77,7,0.05,378.42,60.7,Credit Card,Low
ORD-10032,2022-02-02,2022-02-04,CUST-413,Customer_172,Corporate,Central,California,Miami,PROD-2131,Office Chair,Office Supplies,Chairs,604.89,9,0.12,48.39,54.45,UPI,Low
ORD-10033,2022-02-03,2022-02-05,CUST-121,Customer_13,Home Office,Central,Illinois,New York City,PROD-5763,Phone,Technology,Storage,2231.79,6,0.21,-22.32,35.51,UPI,Medium
ORD-10034,2022-02-04,2022-02-06,CUST-352,Customer_168,Corporate,West,Florida,Los Angeles,PROD-7737,Laptop,Furniture,Accessories,2420.9,5,0.24,-96.84,24.65,UPI,Medium
ORD-10035,2022-02-05,2022-02-07,CUST-847,Customer_130,Home Office,South,Illinois,Los Angeles,PROD-6092,Monitor,Furniture,Chairs,4490.12,7,0.32,-538.81,78.46,COD,High
ORD-10036,2022-02-06,2022-02-08,CUST-956,Customer_84,Consumer,West,New York,Miami,PROD-7022,Monitor,Technology,Accessories,2004.26,6,0.26,-120.26,64.79,COD,Low
ORD-10037,2022-02-07,2022-02-09,CUST-660,Customer_101,Consumer,South,Florida,Miami,PROD-4159,Desk,Office Supplies,Accessories,4768.96,5,0.24,-190.76,27.63,COD,Low
ORD-10038,2022-02-08,2022-02-10,CUST-574,Customer_273,Consumer,East,Florida,New York City,PROD-7159,Monitor,Furniture,Tables,2451.4,2,0.16,98.06,68.57,UPI,Medium
ORD-10039,2022-02-09,2022-02-11,CUST-158,Customer_265,Consumer,Central,California,New York City,PROD-8318,Storage Box,Technology,Storage,4870.21,8,0.19,48.7,61.92,UPI,Medium
ORD-10040,2022-02-10,2022-02-12,CUST-610,Customer_38,Corporate,West,New York,Chicago,PROD-9445,Monitor,Technology,Storage,90.58,7,0.17,2.72,27.28,UPI,Medium
ORD-10041,2022-02-11,2022-02-13,CUST-781,Customer_94,Corporate,West,Texas,Houston,PROD-6307,Desk,Furniture,Tables,4499.14,6,0.34,-629.88,36.99,Credit Card,Medium
ORD-10042,2022-02-12,2022-02-14,CUST-575,Customer_95,Consumer,South,California,New York City,PROD-9520,Monitor,Furniture,Storage,4659.05,5,0.09,512.5,18.95,Credit Card,High
ORD-10043,2022-02-13,2022-02-15,CUST-799,Customer_69,Consumer,South,California,Miami,PROD-4044,Storage Box,Office Supplies,Tables,4807.05,5,0.0,961.41,13.33,Credit Card,High
ORD-10044,2022-02-14,2022-02-16,CUST-882,Customer_236,Consumer,West,Illinois,New York City,PROD-6636,Phone,Office Supplies,Chairs,114.73,9,0.26,-6.88,59.21,COD,High
ORD-10045,2022-02-15,2022-02-17,CUST-289,Customer_137,Corporate,South,Illinois,Los Angeles,PROD-3892,Laptop,Furniture,Accessories,899.92,1,0.08,107.99,25.06,COD,High
ORD-10046,2022-02-16,2022-02-18,CUST-786,Customer_76,Consumer,West,Illinois,Houston,PROD-6288,Storage Box,Office Supplies,Accessories,3286.13,9,0.36,-525.78,66.5,UPI,Medium
ORD-10047,2022-02-17,2022-02-19,CUST-662,Customer_35,Consumer,West,California,Chicago,PROD-6812,Desk,Technology,Storage,176.09,6,0.34,-24.65,79.67,Credit Card,High
ORD-10048,2022-02-18,2022-02-20,CUST-975,Customer_1,Consumer,West,Texas,Los Angeles,PROD-1654,Laptop,Office Supplies,Phones,364.86,4,0.03,62.03,10.75,UPI,High
ORD-10049,2022-02-19,2022-02-21,CUST-666,Customer_296,Home Office,East,Florida,Los Angeles,PROD-6481,Laptop,Office Supplies,Accessories,1144.34,7,0.04,183.09,40.48,Credit Card,High
ORD-10050,2022-02-20,2022-02-22,CUST-343,Customer_60,Consumer,South,Illinois,Houston,PROD-1759,Desk,Technology,Tables,2586.58,9,0.2,0.0,65.15,Credit Card,Medium
ORD-10051,2022-02-21,2022-02-23,CUST-931,Customer_267,Home Office,Central,Texas,Chicago,PROD-7782,Office Chair,Office Supplies,Phones,2752.22,5,0.24,-110.09,64.17,UPI,Low
ORD-10052,2022-02-22,2022-02-24,CUST-604,Customer_229,Home Office,Central,New York,Miami,PROD-2798,Monitor,Technology,Phones,219.59,5,0.11,19.76,62.0,UPI,Medium
ORD-10053,2022-02-23,2022-02-25,CUST-230,Customer_270,Consumer,South,Illinois,Chicago,PROD-6159,Storage Box,Office Supplies,Accessories,893.32,8,0.29,-80.4,31.17,Credit Card,Low
ORD-10054,2022-02-24,2022-02-26,CUST-584,Customer_286,Home Office,West,Florida,New York City,PROD-9446,Desk,Furniture,Accessories,2523.54,7,0.24,-100.94,39.04,Credit Card,Low
ORD-10055,2022-02-25,2022-02-27,CUST-918,Customer_291,Consumer,Central,New York,Los Angeles,PROD-6262,Phone,Office Supplies,Accessories,2990.01,8,0.13,209.3,49.62,COD,High
ORD-10056,2022-02-26,2022-02-28,CUST-746,Customer_213,Corporate,Central,New York,New York City,PROD-4823,Printer,Furniture,Tables,784.59,2,0.01,149.07,78.05,UPI,High
ORD-10057,2022-02-27,2022-03-01,CUST-120,Customer_165,Corporate,South,Florida,Miami,PROD-2876,Desk,Furniture,Phones,2024.26,9,0.3,-202.43,29.57,UPI,High
ORD-10058,2022-02-28,2022-03-02,CUST-940,Customer_5,Corporate,Central,Illinois,New York City,PROD-7154,Monitor,Furniture,Storage,4526.79,3,0.09,497.95,74.24,UPI,Medium
ORD-10059,2022-03-01,2022-03-03,CUST-266,Customer_78,Corporate,West,California,Chicago,PROD-8787,Monitor,Furniture,Tables,4994.55,6,0.33,-649.29,25.2,UPI,Medium
ORD-10060,2022-03-02,2022-03-04,CUST-373,Customer_62,Home Office,South,Florida,New York City,PROD-5516,Laptop,Furniture,Chairs,4936.71,6,0.17,148.1,79.18,Credit Card,High
ORD-10061,2022-03-03,2022-03-05,CUST-487,Customer_132,Consumer,West,Florida,Miami,PROD-4734,Laptop,Technology,Accessories,4414.29,2,0.23,-132.43,55.27,COD,Medium
ORD-10062,2022-03-04,2022-03-06,CUST-700,Customer_89,Consumer,Central,Florida,Miami,PROD-6972,Desk,Technology,Phones,2003.57,7,0.35,-300.54,39.76,UPI,Medium
ORD-10063,2022-03-05,2022-03-07,CUST-415,Customer_237,Consumer,Central,New York,Miami,PROD-7639,Printer,Technology,Tables,3448.54,9,0.35,-517.28,51.0,Credit Card,Low
ORD-10064,2022-03-06,2022-03-08,CUST-113,Customer_42,Corporate,West,Texas,Chicago,PROD-6356,Desk,Furniture,Chairs,2112.13,1,0.15,105.61,25.44,Credit Card,Medium
ORD-10065,2022-03-07,2022-03-09,CUST-341,Customer_89,Corporate,East,California,Miami,PROD-7380,Printer,Office Supplies,Tables,3260.21,8,0.08,391.23,25.56,Credit Card,Low
ORD-10066,2022-03-08,2022-03-10,CUST-876,Customer_296,Consumer,Central,Illinois,Los Angeles,PROD-2008,Printer,Technology,Tables,1581.69,2,0.31,-173.99,13.52,Credit Card,High
ORD-10067,2022-03-09,2022-03-11,CUST-445,Customer_295,Corporate,East,Illinois,Miami,PROD-5314,Monitor,Office Supplies,Storage,3050.7,1,0.17,91.52,13.55,Credit Card,Medium
ORD-10068,2022-03-10,2022-03-12,CUST-664,Customer_104,Consumer,Central,Texas,New York City,PROD-3508,Monitor,Office Supplies,Storage,2642.6,8,0.08,317.11,31.08,UPI,Low
ORD-10069,2022-03-11,2022-03-13,CUST-997,Customer_14,Consumer,East,Florida,New York City,PROD-5758,Monitor,Furniture,Tables,171.18,2,0.36,-27.39,62.21,UPI,Medium
ORD-10070,2022-03-12,2022-03-14,CUST-439,Customer_288,Consumer,East,California,New York City,PROD-3682,Phone,Furniture,Chairs,3963.98,6,0.08,475.68,50.6,COD,Low
ORD-10071,2022-03-13,2022-03-15,CUST-191,Customer_179,Consumer,East,Illinois,Chicago,PROD-8311,Monitor,Furniture,Phones,108.89,6,0.01,20.69,12.69,UPI,Low
ORD-10072,2022-03-14,2022-03-16,CUST-466,Customer_125,Consumer,West,Illinois,New York City,PROD-1989,Storage Box,Technology,Phones,1501.12,5,0.01,285.21,68.92,Credit Card,Medium
ORD-10073,2022-03-15,2022-03-17,CUST-554,Customer_23,Consumer,East,Florida,Chicago,PROD-9446,Laptop,Furniture,Accessories,79.32,8,0.25,-3.97,50.1,COD,High
ORD-10074,2022-03-16,2022-03-18,CUST-527,Customer_63,Consumer,East,Texas,Chicago,PROD-5711,Laptop,Technology,Accessories,1912.2,3,0.26,-114.73,77.06,Credit Card,Low
ORD-10075,2022-03-17,2022-03-19,CUST-608,Customer_143,Corporate,East,California,Miami,PROD-7479,Printer,Technology,Phones,362.64,4,0.12,29.01,55.26,Credit Card,High
ORD-10076,2022-03-18,2022-03-20,CUST-875,Customer_153,Consumer,Central,Texas,Los Angeles,PROD-7964,Laptop,Technology,Tables,4571.88,7,0.13,320.03,18.14,UPI,Medium
ORD-10077,2022-03-19,2022-03-21,CUST-134,Customer_145,Consumer,East,Texas,Miami,PROD-9075,Office Chair,Technology,Tables,2107.61,7,0.14,126.46,40.53,Credit Card,Medium
ORD-10078,2022-03-20,2022-03-22,CUST-305,Customer_225,Corporate,Central,California,Miami,PROD-5452,Printer,Furniture,Storage,2324.5,8,0.27,-162.72,53.64,UPI,High
ORD-10079,2022-03-21,2022-03-23,CUST-180,Customer_104,Corporate,East,California,Chicago,PROD-9447,Laptop,Technology,Storage,1781.76,2,0.02,320.72,7.12,Credit Card,Medium
ORD-10080,2022-03-22,2022-03-24,CUST-661,Customer_104,Corporate,East,Illinois,Chicago,PROD-2007,Office Chair,Furniture,Accessories,3156.16,2,0.37,-536.55,6.12,COD,Low
ORD-10081,2022-03-23,2022-03-25,CUST-971,Customer_39,Consumer,West,Illinois,New York City,PROD-7496,Phone,Furniture,Phones,3932.82,4,0.09,432.61,14.71,Credit Card,High
ORD-10082,2022-03-24,2022-03-26,CUST-487,Customer_198,Home Office,Central,California,New York City,PROD-8688,Laptop,Technology,Tables,3258.33,9,0.4,-651.67,23.87,UPI,Medium
ORD-10083,2022-03-25,2022-03-27,CUST-101,Customer_134,Home Office,East,New York,Miami,PROD-4908,Office Chair,Furniture,Phones,3753.63,9,0.07,487.97,37.22,Credit Card,Medium
ORD-10084,2022-03-26,2022-03-28,CUST-489,Customer_67,Corporate,Central,Illinois,Houston,PROD-3803,Desk,Office Supplies,Chairs,4534.57,4,0.31,-498.8,41.56,UPI,High
ORD-10085,2022-03-27,2022-03-29,CUST-665,Customer_179,Home Office,Central,New York,Houston,PROD-5379,Storage Box,Furniture,Phones,4324.56,9,0.09,475.7,15.35,UPI,Low
ORD-10086,2022-03-28,2022-03-30,CUST-205,Customer_42,Corporate,South,California,New York City,PROD-1098,Desk,Furniture,Chairs,3386.59,3,0.03,575.72,55.5,COD,High
ORD-10087,2022-03-29,2022-03-31,CUST-871,Customer_15,Consumer,West,Illinois,Houston,PROD-9388,Office Chair,Technology,Storage,1112.46,5,0.35,-166.87,49.71,UPI,Medium
ORD-10088,2022-03-30,2022-04-01,CUST-921,Customer_111,Home Office,West,Texas,New York City,PROD-1877,Printer,Technology,Storage,3206.63,9,0.34,-448.93,27.08,COD,Medium
ORD-10089,2022-03-31,2022-04-02,CUST-576,Customer_157,Consumer,West,California,Chicago,PROD-2868,Monitor,Furniture,Accessories,2555.11,6,0.16,102.2,6.02,COD,High
ORD-10090,2022-04-01,2022-04-03,CUST-802,Customer_289,Home Office,South,Florida,Miami,PROD-3665,Monitor,Technology,Phones,3600.24,3,0.28,-288.02,10.82,Credit Card,Low
ORD-10091,2022-04-02,2022-04-04,CUST-501,Customer_231,Consumer,South,New York,Los Angeles,PROD-2388,Monitor,Office Supplies,Phones,4173.01,9,0.22,-83.46,34.38,COD,Low
ORD-10092,2022-04-03,2022-04-05,CUST-829,Customer_157,Home Office,West,California,Miami,PROD-3415,Printer,Office Supplies,Chairs,3726.47,6,0.34,-521.71,16.55,UPI,Low
ORD-10093,2022-04-04,2022-04-06,CUST-655,Customer_38,Consumer,South,California,New York City,PROD-9761,Laptop,Technology,Storage,4240.48,4,0.13,296.83,33.26,UPI,High
ORD-10094,2022-04-05,2022-04-07,CUST-261,Customer_97,Consumer,South,Illinois,New York City,PROD-3637,Monitor,Furniture,Chairs,366.14,4,0.21,-3.66,52.11,COD,Low
ORD-10095,2022-04-06,2022-04-08,CUST-301,Customer_289,Home Office,South,Illinois,Miami,PROD-8242,Desk,Office Supplies,Storage,206.52,8,0.19,2.07,46.04,Credit Card,Low
ORD-10096,2022-04-07,2022-04-09,CUST-369,Customer_254,Consumer,West,Illinois,New York City,PROD-9613,Printer,Office Supplies,Chairs,1329.58,7,0.14,79.77,22.34,COD,Low
ORD-10097,2022-04-08,2022-04-10,CUST-962,Customer_196,Consumer,West,Florida,Houston,PROD-3883,Printer,Furniture,Storage,4508.3,1,0.36,-721.33,30.79,COD,Low
ORD-10098,2022-04-09,2022-04-11,CUST-915,Customer_86,Consumer,West,Illinois,Houston,PROD-2204,Monitor,Technology,Chairs,4127.11,6,0.07,536.52,51.05,UPI,Medium
ORD-10099,2022-04-10,2022-04-12,CUST-370,Customer_10,Home Office,South,California,New York City,PROD-1544,Desk,Office Supplies,Storage,3429.5,8,0.06,480.13,69.56,Credit Card,High
ORD-10100,2022-04-11,2022-04-13,CUST-555,Customer_5,Home Office,West,Illinois,New York City,PROD-2223,Phone,Furniture,Chairs,3518.76,3,0.23,-105.56,61.49,Credit Card,High
ORD-10101,2022-04-12,2022-04-14,CUST-561,Customer_123,Consumer,South,Texas,Houston,PROD-4172,Printer,Furniture,Phones,3647.02,9,0.26,-218.82,46.51,Credit Card,Low
ORD-10102,2022-04-13,2022-04-15,CUST-826,Customer_118,Consumer,East,Illinois,New York City,PROD-9959,Monitor,Office Supplies,Accessories,4715.88,2,0.08,565.91,32.17,Credit Card,High
ORD-10103,2022-04-14,2022-04-16,CUST-351,Customer_294,Home Office,South,Florida,New York City,PROD-7450,Storage Box,Technology,Chairs,4169.35,6,0.16,166.77,32.38,UPI,High
ORD-10104,2022-04-15,2022-04-17,CUST-801,Customer_159,Home Office,Central,Texas,Miami,PROD-7520,Office Chair,Office Supplies,Accessories,3135.78,1,0.38,-564.44,70.96,Credit Card,Medium
ORD-10105,2022-04-16,2022-04-18,CUST-395,Customer_228,Consumer,West,California,Los Angeles,PROD-1654,Laptop,Furniture,Phones,3345.29,2,0.1,334.53,7.94,Credit Card,High
ORD-10106,2022-04-17,2022-04-19,CUST-824,Customer_216,Consumer,West,California,Houston,PROD-7821,Printer,Office Supplies,Phones,1108.01,5,0.27,-77.56,79.1,Credit Card,Medium
ORD-10107,2022-04-18,2022-04-20,CUST-819,Customer_184,Consumer,Central,New York,Miami,PROD-3446,Storage Box,Technology,Storage,3303.73,1,0.3,-330.37,54.83,UPI,High
ORD-10108,2022-04-19,2022-04-21,CUST-848,Customer_15,Corporate,South,Texas,Los Angeles,PROD-6892,Storage Box,Furniture,Accessories,2152.16,8,0.18,43.04,56.09,UPI,Medium
ORD-10109,2022-04-20,2022-04-22,CUST-437,Customer_157,Home Office,East,New York,New York City,PROD-9412,Printer,Technology,Tables,807.16,1,0.38,-145.29,7.85,Credit Card,Medium
ORD-10110,2022-04-21,2022-04-23,CUST-978,Customer_136,Corporate,Central,Texas,New York City,PROD-4666,Phone,Office Supplies,Storage,4041.69,9,0.29,-363.75,50.41,UPI,High
ORD-10111,2022-04-22,2022-04-24,CUST-152,Customer_261,Home Office,Central,Texas,Miami,PROD-5277,Office Chair,Office Supplies,Accessories,2575.72,3,0.18,51.51,41.36,COD,Medium
ORD-10112,2022-04-23,2022-04-25,CUST-891,Customer_157,Home Office,South,Florida,New York City,PROD-5402,Laptop,Technology,Chairs,4888.25,2,0.23,-146.65,12.93,Credit Card,Medium
ORD-10113,2022-04-24,2022-04-26,CUST-316,Customer_47,Home Office,West,New York,Chicago,PROD-3569,Printer,Office Supplies,Chairs,1444.31,1,0.28,-115.54,25.84,UPI,High
ORD-10114,2022-04-25,2022-04-27,CUST-863,Customer_173,Home Office,South,Florida,Miami,PROD-6515,Laptop,Technology,Phones,2429.32,9,0.24,-97.17,71.77,Credit Card,Medium
ORD-10115,2022-04-26,2022-04-28,CUST-287,Customer_130,Home Office,Central,Texas,Los Angeles,PROD-4985,Desk,Office Supplies,Tables,2267.58,4,0.35,-340.14,46.25,Credit Card,Medium
ORD-10116,2022-04-27,2022-04-29,CUST-479,Customer_95,Home Office,Central,California,Miami,PROD-9167,Storage Box,Technology,Chairs,647.86,1,0.14,38.87,36.01,UPI,Medium
ORD-10117,2022-04-28,2022-04-30,CUST-592,Customer_115,Home Office,West,Texas,Houston,PROD-8448,Storage Box,Technology,Accessories,2159.27,1,0.12,172.74,10.45,COD,Medium
ORD-10118,2022-04-29,2022-05-01,CUST-140,Customer_243,Corporate,West,Florida,Miami,PROD-5310,Printer,Furniture,Accessories,1473.39,7,0.09,162.07,58.56,Credit Card,Medium
ORD-10119,2022-04-30,2022-05-02,CUST-256,Customer_292,Consumer,West,New York,New York City,PROD-4019,Printer,Furniture,Chairs,843.59,2,0.02,151.85,57.71,COD,Low
ORD-10120,2022-05-01,2022-05-03,CUST-114,Customer_282,Consumer,South,New York,New York City,PROD-4681,Desk,Technology,Accessories,1446.67,7,0.02,260.4,51.05,UPI,Medium
ORD-10121,2022-05-02,2022-05-04,CUST-912,Customer_299,Corporate,West,Florida,Chicago,PROD-5196,Phone,Office Supplies,Accessories,1204.6,7,0.35,-180.69,43.27,Credit Card,Medium
ORD-10122,2022-05-03,2022-05-05,CUST-164,Customer_283,Corporate,Central,New York,Chicago,PROD-1572,Printer,Office Supplies,Phones,3683.66,9,0.27,-257.86,37.53,UPI,Medium
ORD-10123,2022-05-04,2022-05-06,CUST-956,Customer_69,Corporate,Central,Illinois,Chicago,PROD-5753,Storage Box,Office Supplies,Tables,202.34,7,0.26,-12.14,49.5,UPI,Medium
ORD-10124,2022-05-05,2022-05-07,CUST-938,Customer_148,Corporate,East,California,Los Angeles,PROD-8082,Laptop,Technology,Phones,3106.44,1,0.25,-155.32,22.5,UPI,High
ORD-10125,2022-05-06,2022-05-08,CUST-620,Customer_11,Home Office,South,California,Chicago,PROD-5002,Office Chair,Technology,Tables,3815.27,8,0.34,-534.14,75.59,UPI,Low
ORD-10126,2022-05-07,2022-05-09,CUST-443,Customer_254,Consumer,East,California,Los Angeles,PROD-6629,Monitor,Technology,Accessories,2429.58,8,0.19,24.3,49.16,Credit Card,High
ORD-10127,2022-05-08,2022-05-10,CUST-228,Customer_38,Home Office,Central,New York,Chicago,PROD-9417,Laptop,Technology,Tables,4661.25,4,0.35,-699.19,28.34,COD,Low
ORD-10128,2022-05-09,2022-05-11,CUST-747,Customer_134,Consumer,East,New York,Los Angeles,PROD-5200,Phone,Furniture,Accessories,3554.01,8,0.14,213.24,38.73,COD,Medium
ORD-10129,2022-05-10,2022-05-12,CUST-571,Customer_200,Consumer,Central,Texas,Miami,PROD-2997,Office Chair,Technology,Accessories,3752.22,4,0.37,-637.88,65.43,Credit Card,Medium
ORD-10130,2022-05-11,2022-05-13,CUST-162,Customer_23,Corporate,East,Texas,Miami,PROD-9963,Laptop,Office Supplies,Phones,1024.82,8,0.28,-81.99,17.12,Credit Card,Low
ORD-10131,2022-05-12,2022-05-14,CUST-238,Customer_218,Home Office,West,California,New York City,PROD-8422,Laptop,Furniture,Phones,3897.61,5,0.1,389.76,26.96,COD,Low
ORD-10132,2022-05-13,2022-05-15,CUST-598,Customer_141,Corporate,East,Illinois,Los Angeles,PROD-5524,Desk,Office Supplies,Storage,4168.87,4,0.23,-125.07,55.96,COD,High
ORD-10133,2022-05-14,2022-05-16,CUST-692,Customer_104,Home Office,West,Texas,Houston,PROD-9625,Monitor,Technology,Chairs,1838.27,6,0.21,-18.38,28.66,Credit Card,Low
ORD-10134,2022-05-15,2022-05-17,CUST-491,Customer_210,Consumer,West,Texas,New York City,PROD-4407,Phone,Furniture,Storage,1106.15,2,0.06,154.86,64.44,UPI,Medium
ORD-10135,2022-05-16,2022-05-18,CUST-774,Customer_111,Corporate,South,New York,Miami,PROD-7731,Storage Box,Technology,Storage,1956.0,2,0.24,-78.24,14.78,Credit Card,High
ORD-10136,2022-05-17,2022-05-19,CUST-518,Customer_104,Corporate,West,Illinois,Los Angeles,PROD-8795,Desk,Furniture,Tables,3711.06,2,0.13,259.77,62.2,COD,Low
ORD-10137,2022-05-18,2022-05-20,CUST-388,Customer_171,Consumer,West,California,Chicago,PROD-3793,Office Chair,Office Supplies,Accessories,2117.31,9,0.02,381.12,10.13,UPI,Low
ORD-10138,2022-05-19,2022-05-21,CUST-478,Customer_133,Consumer,East,Texas,Houston,PROD-8334,Monitor,Technology,Accessories,3696.43,3,0.38,-665.36,5.94,COD,High
ORD-10139,2022-05-20,2022-05-22,CUST-872,Customer_293,Consumer,Central,Illinois,Miami,PROD-3911,Storage Box,Technology,Accessories,612.14,4,0.26,-36.73,72.37,UPI,Low
ORD-10140,2022-05-21,2022-05-23,CUST-589,Customer_127,Corporate,South,Illinois,New York City,PROD-8952,Desk,Furniture,Chairs,4039.76,8,0.35,-605.96,48.6,COD,Medium
ORD-10141,2022-05-22,2022-05-24,CUST-330,Customer_106,Home Office,West,California,Los Angeles,PROD-3415,Monitor,Furniture,Tables,1303.38,4,0.27,-91.24,31.39,UPI,High
